recipe,combo,k,n_syms,syms,coverage,mean_n,mean_wr,mean_avg,mean_delta,min_n,min_wr,min_avg,sum_score,detail
L3_rsi35,1h_rsi_mid,1,3,"DIA,IWM,SPY",3/4,15.666666666666666,0.7505952380952382,0.0014211870498808,0.00020128220682094928,10,0.6,0.0011711309198131,0.02059645853416105,DIA n=21 WR=71% avg=+0.149% Δ=+0.026% | IWM n=10 WR=60% avg=+0.160% Δ=+0.025% | SPY n=16 WR=94% avg=+0.117% Δ=+0.009%
raw_bb_dn,30m_rsi_mid,1,3,"DIA,QQQ,SPY",3/4,86.0,0.5659552845528455,0.0006623542261741666,7.676429055364724e-05,80,0.55,0.0004748174662194,0.01939177755635805,DIA n=96 WR=56% avg=+0.047% Δ=+0.009% | QQQ n=80 WR=55% avg=+0.095% Δ=+0.011% | SPY n=82 WR=59% avg=+0.056% Δ=+0.003%
L3_rsi35,1h_above_sma9,1,2,"QQQ,SPY",2/4,14.5,0.8976190476190476,0.0020614724716563,0.0005184986404243,14,0.8666666666666667,0.0013333487525224,0.02189259697578163,QQQ n=15 WR=87% avg=+0.279% Δ=+0.078% | SPY n=14 WR=93% avg=+0.133% Δ=+0.025%
L3_rsi35,15m_below_sma9,1,2,"DIA,QQQ",2/4,17.0,0.7428571428571429,0.0021426336549246,0.0005274307166608,14,0.7,0.0014166121681603,0.021402584697975777,DIA n=20 WR=70% avg=+0.142% Δ=+0.019% | QQQ n=14 WR=79% avg=+0.287% Δ=+0.086%
L1_prior_up,30m_candle_up,1,2,"IWM,SPY",2/4,23.0,0.6295238095238096,0.00193357177119525,0.00066327887153815,21,0.6190476190476191,0.0011776502329634,0.020504651888885853,IWM n=21 WR=62% avg=+0.269% Δ=+0.117% | SPY n=25 WR=64% avg=+0.118% Δ=+0.016%
L2_hvol,30m_candle_up,1,2,"IWM,SPY",2/4,19.5,0.6904761904761905,0.00191558965248245,0.000666064458174,18,0.6666666666666666,0.0014143670316167,0.019832935267673574,IWM n=18 WR=67% avg=+0.242% Δ=+0.110% | SPY n=21 WR=71% avg=+0.141% Δ=+0.024%
L3_rsi35,30m_candle_dn,1,2,"DIA,QQQ",2/4,13.5,0.7333333333333334,0.00216373059457365,0.0005485276563098,12,0.6666666666666666,0.0020401687022214,0.019515983760598744,DIA n=15 WR=80% avg=+0.204% Δ=+0.081% | QQQ n=12 WR=67% avg=+0.229% Δ=+0.028%
raw_bb_dn,1d_candle_dn,1,2,"QQQ,SPY",2/4,53.5,0.6305418719211823,0.00118827650914205,0.0005016302569208,49,0.5714285714285714,0.0009911410878238,0.019370470326948774,QQQ n=49 WR=57% avg=+0.139% Δ=+0.054% | SPY n=58 WR=69% avg=+0.099% Δ=+0.046%
L3_rsi35,15m_bb_mid,1,2,"QQQ,SPY",2/4,20.0,0.8434343434343434,0.0015963191814861999,5.334535025419609e-05,18,0.7777777777777778,0.0011101189669548,0.018626677094889733,QQQ n=18 WR=78% avg=+0.208% Δ=+0.008% | SPY n=22 WR=91% avg=+0.111% Δ=+0.003%
L1_prior_up,1h_below_sma9,1,2,"DIA,SPY",2/4,13.5,0.8583333333333334,0.00181426428478195,0.0008593023648624501,12,0.8,0.0015379434704548,0.018073264306139404,DIA n=15 WR=80% avg=+0.209% Δ=+0.120% | SPY n=12 WR=92% avg=+0.154% Δ=+0.052%
